date,banking_beta,equity_returns_inv,equity_volatility,debt_spread,empi,fsi_variance_equal,banking_beta_std,equity_returns_inv_std,equity_volatility_std,debt_spread_std,empi_std
2016-06-01,1.1161067412373509,0.0061481926280340105,0.036616192855046754,,2.0821969120628836,0.17261351803686947,0.08068556236440612,0,-0.7349125080156146,,1.3446810177986863
2016-07-01,1.112688150974836,0.03985924183273326,0.037246220678260326,,2.0525680433624323,0.16990390337629654,0.06470653251775937,0,-0.7106118282716224,,1.3255209092590492
2016-08-01,1.1215344312222333,-0.019426466854810087,0.037730808766737206,,1.9945176203923127,0.1755289978861504,0.10605544105907655,0,-0.6919208760438854,,1.2879814265294105
2016-09-01,1.117989663747772,inf,0.03856438754806107,,1.964975387814678,0.1746487274637198,0.0894866390312568,0,-0.6597690721711353,,1.2688773429947577
2016-10-01,1.1178758636050155,-inf,0.038319997036304336,,1.8922851388419883,0.16040750713064292,0.0889547192227912,0,-0.6691954107229448,,1.2218707200227252
2016-11-01,1.1199442607162184,0.026857245581652478,0.0373393512203031,,1.8800059782011052,0.15138329423103972,0.09862273341479254,0,-0.707019708379167,,1.2139301518885333
2016-12-01,1.1199937907388924,0.014341026995280615,0.03616193345406423,,1.8224187092522715,0.1307776908162715,0.0988542445494524,0,-0.752433658379528,,1.1766901770951617
2017-01-01,1.1150578772269861,0.018584895223918707,0.034274714164042173,,-2.434942991043082,-0.5814653207228029,0.075783006620752,0,-0.8252252239005385,,-1.576419065611425
2017-02-01,1.1112584723702772,0.010192461161135924,0.03420377605590699,,-2.2616403307072925,-0.5585716904520169,0.05802398932331592,0,-0.827961363772338,,-1.4643493873590456
2017-03-01,1.0979560953550913,0.0014104397718366357,0.03389909527682241,,-2.095257291226228,-0.5501552466625486,-0.004153418038934031,0,-0.8397131464141256,,-1.3567544221971346
2017-04-01,1.0976879550998555,0.0067893886471122045,0.030662386690581484,,-1.9465102163029595,-0.5576316145205829,-0.005406747865699683,0,-0.9645555992087979,,-1.260564111007834
2017-05-01,1.10425187398494,-0.08329890828704123,0.03800560497419952,,-1.8168693309780974,-0.4581942315335792,0.02527404384128272,0,-0.6813217653596235,,-1.176729204615976
2017-06-01,1.1039919214208056,-0.01285854864229563,0.03780245758610749,,-1.6765240121845868,-0.4377675995578002,0.024058984573559476,0,-0.6891573234682683,,-1.085972059336492
2017-07-01,1.1042925180327665,-0.005865923212780899,0.037872976749446605,,-1.5494911589896876,-0.4161992529733382,0.025464020528582338,0,-0.6864373426341246,,-1.0038236897878106
2017-08-01,1.1351941098554652,0.019246689977014952,0.03787330139488263,,-1.4387501104013056,-0.3621831585540748,0.16990293251464889,0,-0.6864248207986111,,-0.9322107459323371
2017-09-01,1.132814895538215,0.03374383968016659,0.03852606224289371,,-1.2996971096781298,-0.3361886261595496,0.15878210969953174,0,-0.6612473100086522,,-0.8422893043290779
2017-10-01,1.1232800802470408,-0.013285283432704631,0.03440141394237268,,-1.1687728638155808,-0.3659369796475996,0.11421487981224568,0,-0.8203383115715878,,-0.7576244868310562
2017-11-01,1.1403393109617344,-0.023405135232660967,0.033342204294873536,,-1.048783737280122,-0.33681788790848316,0.19395241365474764,0,-0.861192879381521,,-0.6800310859071592
